,Location,Number,URL,Council District,Date Received,Last Changed Date,Expiration Date,Mover,Second,geojson,Votes
547,Corbin Avenue and the 101 Freeway,21-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S2,3,2021-09-21,2021-10-20,2023-10-15,BOB BLUMENFIELD,PAUL KREKORIAN,"[{'lat': 34.17336760746942, 'lng': -118.56230418661747}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MARK RIDLEY-THOMAS"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
548,Shirley Avenue and the 101 Freeway,21-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S2,3,2021-09-21,2021-10-20,2023-10-15,BOB BLUMENFIELD,PAUL KREKORIAN,"[{'lat': 34.17381386964446, 'lng': -118.55784789854066}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MARK RIDLEY-THOMAS"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
549,Tampa Avenue and the 101 Freeway,21-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S2,3,2021-09-21,2021-10-20,2023-10-15,BOB BLUMENFIELD,PAUL KREKORIAN,"[{'lat': 34.17353740626352, 'lng': -118.55349176803107}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MARK RIDLEY-THOMAS"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
550,Wilbur Avenue and the 101 Freeway,21-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S2,3,2021-09-21,2021-10-20,2023-10-15,BOB BLUMENFIELD,PAUL KREKORIAN,"[{'lat': 34.17347980451825, 'lng': -118.54481572698691}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MARK RIDLEY-THOMAS"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
551,Yolanda Avenue and the 101 Freeway,21-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S2,3,2021-09-21,2021-10-20,2023-10-15,BOB BLUMENFIELD,PAUL KREKORIAN,"[{'lat': 34.17345915823598, 'lng': -118.54080125807022}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MARK RIDLEY-THOMAS"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
552,Reseda Blvd. and the 101 Freeway,21-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S2,3,2021-09-21,2021-10-20,2023-10-15,BOB BLUMENFIELD,PAUL KREKORIAN,"[{'lat': 34.173263864030645, 'lng': -118.53601281093286}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MARK RIDLEY-THOMAS"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
553,Eliwanda Avenue and the 101 Freeway,21-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S2,3,2021-09-21,2021-10-20,2023-10-15,BOB BLUMENFIELD,PAUL KREKORIAN,"[{'lat': 34.17175278530281, 'lng': -118.53090135318048}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MARK RIDLEY-THOMAS"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
554,Lindley Avenue and the 101 Freeway,21-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S2,3,2021-09-21,2021-10-20,2023-10-15,BOB BLUMENFIELD,PAUL KREKORIAN,"[{'lat': 34.17119184956439, 'lng': -118.52725178830725}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MARK RIDLEY-THOMAS"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
555,"Martin Luther King, Jr. Blvd. and the 110 Freeway -underpass",21-4118-S20,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S20,9,2021-11-23,2021-12-09,2023-12-06,"CURREN D. PRICE, JR.",MITCH O'FARRELL,"[{'lat': 34.01099427883374, 'lng': -118.28085012575379}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""ABSENT""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
556,Broadway and the Northbound 101 -Freeway Ramp,21-4118-S25,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S25,14,2021-12-08,2022-01-12,2024-01-07,KEVIN DE LEON,BOB BLUMENFIELD,"[{'lat': 34.05688970520099, 'lng': -118.2424821741608}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
557,Soto Street over the Interstate 10 Freeway -Freeway,24-4118-S7,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=24-4118-S7,14,2024-09-13,2024-09-24,2026-09-20,KEVIN DE LEON,JOHN S. LEE,"[{'lat': 34.05468221312186, 'lng': -118.20282218894133}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""NO""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""IMELDA PADILLA"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""ABSENT""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""YES""}]"
558,"Soto Street under the California 101, Interstate 5, and California 60 Freeways -Freeway",24-4118-S7,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=24-4118-S7,14,2024-09-13,2024-09-24,2026-09-20,KEVIN DE LEON,JOHN S. LEE,"[{'lat': 34.02986808092989, 'lng': -118.21849872712289}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""NO""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""IMELDA PADILLA"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""ABSENT""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""YES""}]"
559,"Marietta Street under the California 101, Interstate 5, and California 60 Freeways -Freeway",24-4118-S7,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=24-4118-S7,14,2024-09-13,2024-09-24,2026-09-20,KEVIN DE LEON,JOHN S. LEE,"[{'lat': 34.028495609789786, 'lng': -118.21327488748595}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""NO""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""IMELDA PADILLA"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""ABSENT""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""YES""}]"
560,49th Street and the 110 Freeway -overpass,21-4118-S20,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S20,9,2021-11-23,2021-12-09,2023-12-06,"CURREN D. PRICE, JR.",MITCH O'FARRELL,"[{'lat': 33.99849621606554, 'lng': -118.2805068324597}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""ABSENT""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
561,110 Fwy and 8th St - Underpass,21-4118-S22,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S22,1,2021-12-08,2022-01-12,2024-01-07,GILBERT A. CEDILLO,PAUL KREKORIAN,"[{'lat': 34.049529027559466, 'lng': -118.26406377478526}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
